Category,Item,Qty,Unit Cost PKR,Total PKR,Notes
A Electrical,Internal wiring + labour,1 lot,150000,150000,"90m rolls, conduit"
A Electrical,Switch boards & fittings,30,800,24000,AMSON pearl
A Electrical,LED lights 12-13W,30,1200,36000,
A Electrical,Ceiling fans AC-DC Inverter 13k,12,13000,156000,2 per classroom + hall
A Electrical,Distribution board + breakers,1,35000,35000,
A Electrical,Backup Solar 5kW hybrid (RECOMMENDED),1,750000,750000,or 3kW at 450k
B Doors & Windows,Classroom doors solid,6,25000,150000,
B Doors & Windows,Office doors,2,25000,50000,
B Doors & Windows,Washroom PVC doors,4,6500,26000,PVC recommended
B Doors & Windows,Window glass + install,20,4000,80000,
B Doors & Windows,Locks & handles,12,1500,18000,
C Finishing,Flooring marble/tile - DONE,0,0,0,You confirmed FINISHED
C Finishing,Staircase finishing,1 lot,40000,40000,
C Finishing,Washroom wall tiles + labour,1 lot,90000,90000,
C Finishing,Final paint interior+exterior 45 gal + labour,1 lot,280000,280000,ICI/Nippon 2500-5000/gal
D Ventilation,Air coolers evaporative,7,25000,175000,
D Ventilation,Rooftop green shade sheet,500 sqft,120,60000,Heat protection
D Ventilation,Exhaust fans,6,3500,21000,
E Plumbing & Water,Water tanks roof+underground,1 lot,85000,85000,
E Plumbing & Water,Washroom fittings,4,15000,60000,
E Plumbing & Water,Hand wash basins,4,8000,32000,
E Plumbing & Water,Drinking water facility,1,25000,25000,
E Plumbing & Water,Water filtration + TDS meter,1,50000,50000,Handwritten extra
E Plumbing & Water,Dust remediation,1 lot,20000,20000,Handwritten extra
F Furniture,Classroom shelving systems,6,12000,72000,Handwritten extra
F Furniture,Teacher tables+chairs 9 sets,9,17000,153000,Table 12k+Chair 5k
F Furniture,Whiteboards 4x6,7,8000,56000,
F Furniture,Notice boards,6,4000,24000,
F Furniture,Principal desk,1,35000,35000,
F Furniture,Administrative tables,2,20000,40000,
F Furniture,Visitor chairs,8,4500,36000,
F Furniture,Filing cabinets,2,18000,36000,
G Safety,Fire extinguishers,4,7500,30000,
G Safety,First aid kits,4,3000,12000,
G Safety,Emergency exit signage,6,1500,9000,
G Safety,CCTV 4-cam + DVR,1,65000,65000,
H Other,Engineer report/certification,1,40000,40000,Handwritten need
