Date,End Date,Title EN,Title UR,Type,Description EN
2026-01-01,,New Year Function,نئے سال کی تقریب,FG Function,"Welcome new year, goal setting, speeches & poems"
2026-02-02,,School Anniversary Function,سکول کی سالگرہ,FG Function,"Commemorate establishment 2020, achievements, cultural programs"
2026-02-05,,Kashmir Day,یوم کشمیر,Govt Holiday,National public holiday - closed
2026-03-15,,Final Annual Exam Result Function,سالانہ نتائج کی تقریب,FG Function,"Announce results, appreciate high achievers"
2026-03-23,,Pakistan Day,یوم پاکستان,Govt Holiday,National holiday
2026-03-31,,Result Declaration,نتیجہ کا اعلان,Govt Milestone,Annual results & promotions
2026-04-01,,Commencement of Session,تعلیمی سیشن کا آغاز,Govt Milestone,New academic classes begin
2026-04-03,,Good Friday Observance,گڈ فرائیڈے,FG Function,"Respectful observance, sacrifice, peace, forgiveness"
2026-05-01,,Labour Day,یوم مزدور,Both,Recognize value of hard work - speeches
2026-05-22,2026-08-23,Summer Vacation,موسم گرما کی تعطیلات,Govt Break,Approx 3 months
2026-06-21,,Music Day Function,یوم موسیقی,FG Function,Creativity & love for music - during summer as community event
2026-08-14,,Independence Day Function,یوم آزادی کی تقریب,Both,"Flag hoisting, speeches, patriotic performances - importance of freedom"
2026-10-10,,Teachers' Day Function,یوم اساتذہ,FG Function,"Honor teachers dedication, gratitude"
2026-11-01,2026-11-30,First Term / Mid-Term Exams,پہلی سہ ماہی امتحانات,Govt Exams,Mid-session assessment
2026-11-09,,Iqbal Day / Birth of National Poet,یوم اقبال,Both,"Recite Iqbal poetry, national identity"
2026-12-24,,Christmas Grand Function,کرسمس کی بڑی تقریب,FG Function,"Dramas, carols, cultural programs - love, peace, unity"
2026-12-24,2026-12-31,Winter Break,موسم سرما کی تعطیلات,Govt Break,Dec 24-31 varies with smog/cold
2026-12-25,,Quaid-e-Azam Day / Christmas,یوم قائد / کرسمس,Govt Holiday,Public holiday
2027-02-01,2027-03-15,Final Annual Examinations,سالانہ امتحانات,Govt Exams,Annual evaluations
2027-03-31,,Result Declaration 2027,نتیجہ 2027,Govt Milestone,Session close
